fixture_id,home_XGoals,away_XGoals,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_shots,away_shots,home_shots_on_goal,away_shots_on_goal,home_gk_saves,away_gk_saves,home_possession,away_possession,home_pass_accuracy,away_pass_accuracy,home_offsides,away_offsides,home_fouls,away_fouls
1208021,2.43,0.44,7,8,2,3,14,10,5,2,2,4,55%,45%,85%,80%,3,1,12,10
1208022,0.45,2.65,2,10,3,1,7,18,2,5,3,2,38%,62%,78%,86%,5,0,9,18
1208025,0.25,1.77,3,12,2,4,3,19,1,4,3,0,22%,78%,65%,89%,1,2,15,16
1208023,1.24,0.47,8,2,2,2,18,9,6,3,3,4,53%,47%,85%,82%,0,1,17,14
1208024,0.45,1.43,1,5,1,1,9,10,1,5,2,1,38%,62%,77%,86%,7,1,8,8
1208026,1.3,1.22,2,6,1,3,14,13,8,4,3,7,53%,47%,80%,78%,1,4,17,8
1208027,2.46,2.03,5,3,1,2,14,15,3,3,1,3,52%,48%,84%,84%,1,1,18,11
1208028,1.59,1.17,4,7,1,5,9,14,5,6,6,3,46%,54%,77%,81%,1,3,6,15
1208029,1.01,0.77,4,3,1,1,10,11,3,5,3,3,48%,52%,89%,89%,2,1,12,9
1208030,1.05,1.18,2,13,1,1,7,15,3,7,5,2,30%,70%,77%,90%,2,1,11,12
1208033,2.09,1.43,4,4,1,2,14,11,5,4,2,2,48%,52%,85%,87%,0,6,9,13
1208035,1.78,0.61,7,5,2,2,18,10,6,4,3,4,54%,46%,85%,84%,0,5,14,13
1208038,0.14,2.45,4,10,3,3,5,23,1,8,7,1,65%,35%,91%,84%,0,1,14,14
1208039,2.43,1.0,12,5,0,0,13,10,7,1,1,3,71%,29%,89%,75%,0,4,11,15
1208037,3.34,0.29,10,1,2,3,14,1,5,1,0,1,75%,25%,93%,82%,3,1,4,15
1208034,1.35,1.39,3,3,1,1,14,18,2,3,1,2,58%,42%,82%,77%,3,2,9,17
1208032,1.28,0.87,4,1,1,3,11,9,3,4,2,3,39%,61%,82%,91%,3,1,8,16
1208031,2.26,1.69,8,9,2,2,16,14,4,5,4,3,39%,61%,76%,79%,0,0,20,8
1208040,1.96,1.68,5,5,2,3,12,14,4,8,2,2,40%,60%,79%,86%,3,1,13,13
1208036,2.65,0.36,9,4,2,3,19,8,8,2,2,6,63%,37%,92%,82%,1,2,10,7
1208041,2.08,1.83,3,7,5,2,11,22,7,4,3,6,36%,64%,74%,86%,3,1,12,7
1208044,1.97,2.22,8,4,2,1,18,17,8,7,4,6,47%,53%,74%,77%,2,2,6,11
1208046,0.45,1.55,1,4,4,5,9,10,3,5,3,2,58%,42%,89%,83%,3,1,13,21
1208042,2.78,1.57,2,8,2,1,20,18,7,6,5,4,37%,63%,87%,88%,1,2,10,7
1208045,0.45,0.95,8,6,2,3,11,9,4,4,3,3,49%,51%,86%,86%,4,0,15,15
1208049,1.04,0.74,7,3,3,4,16,11,5,3,1,4,52%,48%,80%,78%,4,0,15,18
1208050,0.73,3.0,3,11,3,2,10,23,2,8,5,2,32%,68%,84%,92%,0,1,10,3
1208048,1.83,1.26,7,12,4,4,9,20,3,6,6,1,34%,66%,70%,84%,2,4,16,13
1208043,2.37,0.54,4,4,4,2,13,9,7,3,2,6,63%,37%,90%,79%,0,1,9,13
1208047,1.36,1.79,5,2,4,1,8,11,3,3,0,3,53%,47%,83%,84%,0,2,7,7
1208058,1.12,2.67,0,7,1,4,6,20,4,10,7,3,44%,56%,88%,91%,0,0,11,14
1208055,1.54,0.76,3,2,2,3,21,11,5,3,2,4,55%,45%,80%,77%,3,2,15,18
1208056,0.94,0.44,7,2,4,4,14,5,5,3,2,5,69%,31%,84%,69%,0,5,15,6
1208057,2.17,0.96,12,3,3,1,18,8,7,5,5,5,54%,46%,89%,85%,1,1,9,3
1208053,1.66,0.35,9,2,4,3,21,6,6,1,1,6,69%,31%,86%,70%,1,3,14,16
1208054,2.55,1.23,5,2,0,3,20,9,4,4,2,2,67%,33%,85%,69%,3,0,11,15
1208052,2.12,0.9,6,2,1,4,17,6,8,2,0,4,73%,27%,91%,76%,1,3,10,12
1208051,1.78,0.78,6,3,6,8,19,10,7,3,2,7,33%,67%,70%,85%,4,3,16,9
