Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/50.png,Manchester City,38,32,4,2,106,27,79,100,WWDWW,UEFA Champions League,16,2,1,61,14,16,2,1,45,13
2,https://media.api-sports.io/football/teams/33.png,Manchester United,38,25,6,7,68,28,40,81,WDLWW,UEFA Champions League,15,2,2,38,9,10,4,5,30,19
3,https://media.api-sports.io/football/teams/47.png,Tottenham,38,23,8,7,74,36,38,77,WWLWD,UEFA Champions League,13,4,2,40,16,10,4,5,34,20
4,https://media.api-sports.io/football/teams/40.png,Liverpool,38,21,12,5,84,38,46,75,WLDDW,UEFA Champions League,12,7,0,45,10,9,5,5,39,28
5,https://media.api-sports.io/football/teams/49.png,Chelsea,38,21,7,10,62,38,24,70,LDWWW,UEFA Europa League,11,4,4,30,16,10,3,6,32,22
6,https://media.api-sports.io/football/teams/42.png,Arsenal,38,19,6,13,74,51,23,63,WLWLW,,15,2,2,54,20,4,4,11,20,31
7,https://media.api-sports.io/football/teams/44.png,Burnley,38,14,12,12,36,39,-3,54,LLDDL,,7,5,7,16,17,7,7,5,20,22
8,https://media.api-sports.io/football/teams/45.png,Everton,38,13,10,15,44,58,-14,49,LDWWD,,10,4,5,28,22,3,6,10,16,36
9,https://media.api-sports.io/football/teams/46.png,Leicester,38,12,11,15,56,60,-4,47,LWLLD,,7,6,6,25,22,5,5,9,31,38
10,https://media.api-sports.io/football/teams/34.png,Newcastle,38,12,8,18,39,47,-8,44,WLLLL,,8,4,7,21,17,4,4,11,18,30
11,https://media.api-sports.io/football/teams/52.png,Crystal Palace,38,11,11,16,45,55,-10,44,WWWDW,,7,5,7,29,27,4,6,9,16,28
12,https://media.api-sports.io/football/teams/35.png,Bournemouth,38,11,11,16,45,61,-16,44,WWLLL,,7,5,7,26,30,4,6,9,19,31
13,https://media.api-sports.io/football/teams/48.png,West Ham,38,10,12,16,48,68,-20,42,WDWLL,,7,6,6,24,26,3,6,10,24,42
14,https://media.api-sports.io/football/teams/38.png,Watford,38,11,8,19,44,64,-20,41,LWLDL,,7,6,6,27,31,4,2,13,17,33
15,https://media.api-sports.io/football/teams/51.png,Brighton,38,9,13,16,34,54,-20,40,LLWDD,,7,8,4,24,25,2,5,12,10,29
16,https://media.api-sports.io/football/teams/37.png,Huddersfield,38,9,10,19,28,58,-30,37,LDDLW,,6,5,8,16,25,3,5,11,12,33
17,https://media.api-sports.io/football/teams/41.png,Southampton,38,7,15,16,37,56,-19,36,LWDWD,,4,7,8,20,26,3,8,8,17,30
18,https://media.api-sports.io/football/teams/76.png,Swansea,38,8,9,21,28,56,-28,33,LLLLL,Relegation,6,3,10,17,24,2,6,11,11,32
19,https://media.api-sports.io/football/teams/75.png,Stoke City,38,7,12,19,35,68,-33,33,WLDDD,Relegation,5,5,9,20,30,2,7,10,15,38
20,https://media.api-sports.io/football/teams/60.png,West Brom,38,6,13,19,31,56,-25,31,LWWDW,Relegation,3,9,7,21,29,3,4,12,10,27
